question,answer,options.A,options.B,options.C,options.D,meta_info,answer_idx,metamap_phrases
"A 27-year-old man presents to the emergency department after a motor vehicle collision. The patient was the front seat unrestrained driver in a head on collision. The patient’s echocardiogram (ECG) is notable only for sinus tachycardia. His temperature is 99.5°F (37.5°C), blood pressure is 107/58 mmHg, pulse is 120/min, respirations are 17/min, and oxygen saturation is 98% on room air. The patient is given 2 liters of Ringer lactate solution and morphine. Initial workup demonstrates that the patient’s pulmonary capillary wedge pressure and troponins are elevated. The patient is currently complaining of chest pain. Physical exam is notable for an uncomfortable young man with bruising over his chest wall. Which of the following is the most likely diagnosis?",Cardiac contusion,Cardiac contusion,Hemorrhage,Pulmonary contusion,Takotsubo cardiomyopathy,step2&3,A,"[""27 year old man presents"",""emergency department"",""motor vehicle collision"",""patient"",""front"",""driver"",""head"",""collision"",""patients echocardiogram"",""notable only"",""sinus tachycardia"",""temperature"",""99"",""blood pressure"",""58 mmHg"",""pulse"",""min"",""respirations"",""min"",""oxygen saturation"",""98"",""room air"",""patient"",""given 2 liters"",""Ringer lactate solution"",""morphine"",""Initial workup demonstrates"",""patients pulmonary capillary wedge pressure"",""troponins"",""elevated"",""patient"",""currently"",""of chest pain"",""Physical exam"",""notable"",""young man"",""bruising"",""chest wall"",""following"",""most likely diagnosis""]"
"A 56-year-old man presents to the emergency department for progressively worsening fatigue, malaise, fever, and abdominal pain. He reports that his symptoms began approximately 1 week ago and he has noticed episodes of diarrhea. He recently started melatonin and magnesium supplementation in hopes of improving his sleep. Medical history is significant for alcohol use disorder that required multiple hospital admissions for management of acute pancreatitis and cirrhosis. He states that he occasionally injects heroin intravenously. Temperature is 100°F (37.8°C), blood pressure is 105/70 mmHg, pulse is 92/min, and respirations are 17/min. Physical examination is significant for scleral icterus, hepatomegaly, ascites, and diffuse abdominal tenderness. Laboratory testing is significant for leukocytosis and metabolic acidosis. A paracentesis is performed and he is admitted into the hospital to receive intravenous cefotaxime and albumin. Ascitic fluid analysis demonstrates a polymorphonuclear cell count of 280 cells/mm^3, serum-ascites albumin gradient of 1.3 g/dL, and a culture positive for Escherichia coli sensitive to cefotaxime and ceftriaxone. On hospital day 2, the nurse reports that the patient is oliguric in the setting of constant fluid intake. Physical examination is unchanged. Laboratory testing is significant for a serum sodium of 131 mEq/L and creatinine of 1.8 mg/dL (it was 0.9 mg/dL on admission). Urine studies are significant for a low urine sodium level, without evidence of blood or protein. Since the hospital admission, he has not been started on any new medications. Which of the following will be the best treatment option for this patient?",Liver transplantation,Adding dopamine to his treatment regimen,Adding lisinopril to his treatment regimen,Liver transplantation,Transjugular intrahepatic portosystemic shunting,step2&3,C,"[""year old man presents"",""emergency department"",""worsening fatigue"",""malaise"",""fever"",""abdominal pain"",""reports"",""symptoms began approximately"",""week"",""episodes of diarrhea"",""recently started melatonin"",""magnesium supplementation"",""hopes"",""improving"",""sleep"",""Medical history"",""significant"",""alcohol use disorder"",""required multiple hospital"",""management"",""acute pancreatitis"",""cirrhosis"",""states"",""occasionally injects heroin"",""Temperature"",""blood pressure"",""70 mmHg"",""pulse"",""min"",""respirations"",""min"",""Physical examination"",""significant"",""scleral icterus"",""hepatomegaly"",""ascites"",""diffuse abdominal tenderness"",""Laboratory testing"",""significant"",""leukocytosis"",""metabolic acidosis"",""paracentesis"",""performed"",""admitted"",""hospital to receive intravenous cefotaxime"",""albumin"",""Ascitic demonstrates"",""polymorphonuclear cell count"",""cells mm"",""serum-ascites albumin gradient"",""g/dL"",""culture positive"",""Escherichia coli sensitive to cefotaxime"",""ceftriaxone"",""hospital"",""nurse reports"",""patient"",""oliguric"",""setting"",""constant fluid intake"",""Physical examination"",""unchanged"",""Laboratory testing"",""significant"",""serum sodium"",""mEq/L"",""creatinine"",""1.8 mg/dL"",""0.9 mg/dL on admission"",""Urine studies"",""significant"",""low urine sodium level"",""evidence"",""blood"",""protein"",""hospital admission"",""not"",""started"",""new medications"",""following"",""best treatment"",""patient""]"
"A 29-year-old woman presents to the clinic after several months of weight loss. She noticed a 6.8 kg (15 lb) unintentional weight loss over the preceding several months. She has not changed her diet or exercise habits. She also reports feuding with her boyfriend over the temperature of their shared apartment, as she always feels warmer than he does. The vital signs include: heart rate 110/min and blood pressure 146/78 mm Hg. The physical exam is notable for warm and slightly moist skin. She also exhibits a fine tremor in her hands when her arms are outstretched. The urine pregnancy test is negative. Which of the following is the best single treatment option for this patient?",Methimazole,Glucocorticoids,Methimazole,Propranolol,Radioiodine therapy,step2&3,B,"[""29 year old woman presents"",""clinic"",""several months of weight loss"",""kg"",""unintentional weight loss"",""preceding"",""months"",""not changed"",""diet"",""exercise habits"",""reports"",""boyfriend"",""temperature"",""shared apartment"",""always feels warmer"",""vital signs include"",""heart rate"",""min"",""blood pressure"",""mm Hg"",""physical exam"",""notable"",""warm"",""slightly moist skin"",""exhibits"",""fine"",""hands"",""arms"",""urine pregnancy test"",""negative"",""following"",""best single treatment"",""patient""]"
"A 21-year-old man comes to the physician because of pruritus and a hypopigmented rash on his upper body for 5 days. He first noticed the symptoms after returning from a business trip last week in the Bahamas. While he was there, he visited a couple of beaches and went hiking with some coworkers. The rash initially started as a single lesion on his upper back but since then has extended to his shoulders. He has a history of type 1 diabetes mellitus controlled with an insulin pump. He works as an office manager and has no known exposure to melanocytotoxic chemicals. He has been sexually active with three female partners over the past year and uses condoms inconsistently. He is 183 cm (6 ft) tall and weighs 80 kg (176 lb); BMI is 23.9 kg/m2. His temperature is 37.2°C (99°F), pulse is 78/min, and blood pressure is 130/84 mm Hg. A photograph of the rash is shown. One month ago, his hemoglobin A1C was 7.8%. Which of the following is most likely to confirm the diagnosis?",Potassium hydroxide preparation,Wood lamp examination,Skin culture,Potassium hydroxide preparation,Skin biopsy,step2&3,C,"[""21-year-old man"",""physician"",""pruritus"",""hypopigmented rash"",""upper body"",""5 days"",""first"",""symptoms"",""returning"",""business trip"",""week"",""Bahamas"",""visited"",""couple"",""beaches"",""hiking"",""coworkers"",""rash initially started"",""single lesion"",""upper back"",""since then"",""extended"",""shoulders"",""history of type 1 diabetes mellitus controlled"",""insulin pump"",""works"",""office"",""known exposure to"",""chemicals"",""sexually active"",""three female partners"",""past year"",""uses condoms"",""ft"",""tall"",""80 kg"",""BMI"",""23"",""kg/m2"",""temperature"",""pulse"",""min"",""blood pressure"",""84 mm Hg"",""photograph"",""rash"",""shown"",""One month"",""hemoglobin A1C"",""following"",""most likely to confirm"",""diagnosis""]"
"A 5-year-old female is brought to a speech therapist for continuing work on improving her communication skills. She is only able to verbalize two word sentences and has generalized developmental delay. When she was born it was noticed that she had a high pitched mewing cry and subsequent physical exam revealed microcephaly, prominent epicanthal folds, and a holosystolic murmur best heard in the left 5th intercostal space near the sternum. An abnormality of which of the following chromosomes is most likely responsible for this patient's disorder?",5,5,7,18,21,step1,A,"[""5 year old female"",""brought"",""speech therapist"",""continuing work"",""improving"",""communication skills"",""only able to"",""two word sentences"",""generalized developmental delay"",""born"",""high pitched"",""cry"",""subsequent physical exam revealed microcephaly"",""prominent epicanthal folds"",""holosystolic murmur best heard"",""left 5th intercostal space"",""sternum"",""abnormality"",""following chromosomes"",""most likely responsible"",""patient's disorder""]"
"A 62-year old female comes to the physician because of vaginal spotting and urinary urgency for the past 4 days. She has had no fever, abdominal pain, or diarrhea. Menopause occurred at 52 years of age. Her last Pap smear 1 year ago was normal. She has hypertension, hypercholesterolemia, and diabetes. Medications include atorvastatin, hydrochlorothiazide, metformin, and aspirin. She is sexually active with her husband. Her temperature is 37°C (98.6°F), pulse is 95/min, respirations are 12/min, and blood pressure is 155/65 mm Hg. Pelvic exam demonstrates a 4 x 3 cm firm, immobile erythematous mass on the right inner vaginal wall. Which of the following is the most appropriate next step in management?",Biopsy of the mass,Pap smear,Biopsy of the mass,Incision and drainage,Urine gonorrhea and chlamydia testing,step2&3,B,"[""62 year old female"",""physician"",""vaginal spotting"",""urinary urgency"",""past 4 days"",""fever"",""abdominal pain"",""diarrhea"",""Menopause occurred"",""years"",""age"",""last Pap smear 1 year"",""normal"",""hypertension"",""hypercholesterolemia"",""diabetes"",""Medications include atorvastatin"",""hydrochlorothiazide"",""metformin"",""aspirin"",""sexually active"",""husband"",""temperature"",""98"",""pulse"",""95 min"",""respirations"",""min"",""blood pressure"",""65 mm Hg"",""Pelvic exam demonstrates"",""4"",""firm"",""immobile erythematous mass"",""right inner vaginal"",""following"",""most appropriate next step"",""management""]"
"A 59-year-old man is evaluated for progressive joint pain. There is swelling and tenderness over the first, second, and third metacarpophalangeal joints of both hands. His hand radiograph is shown. He has had diabetes mellitus for 2 years which is not well controlled with medications. Lab studies show a transferrin saturation of 88% and serum ferritin of 1,200 ng/mL. Which of the following best represents the etiology of this patient condition?",Deposition of calcium pyrophosphate (CPP) crystals,Deposition of urate crystals,Deposition of calcium pyrophosphate (CPP) crystals,Inflammatory rheumatological syndrome,Pathogenic inoculation of microbes,step2&3,B,"[""59 year old man"",""evaluated"",""progressive joint pain"",""swelling"",""tenderness"",""first"",""second"",""third"",""joints of"",""hands"",""hand radiograph"",""shown"",""diabetes mellitus"",""years"",""not well controlled with medications"",""Lab studies show"",""transferrin saturation"",""88"",""serum ferritin"",""1 200 ng mL"",""following best represents"",""etiology"",""patient condition""]"
"A newborn is found to be extremely cyanotic immediately after birth. He then develops progressive respiratory failure and is admitted to the neonatal ICU. A single loud S2 heart sound is appreciated as well as a machine-like murmur at the left upper sternal border. Radiography shows an enlarged ""egg-shaped"" heart. The newborn is then taken for a atrial septostomy to alleviate the condition pending definitive surgical correction. Which of the following is the most likely cause of this newborn's condition?",Transposition of great vessels,Coarctation of the aorta,Persistent truncus arteriosus,Transposition of great vessels,Tricuspid atresia,step1,C,"[""newborn"",""found to"",""extremely cyanotic immediately"",""birth"",""then"",""progressive respiratory failure"",""admitted"",""neonatal ICU"",""single loud S2 heart sound"",""machine"",""murmur"",""left upper sternal border"",""Radiography shows"",""enlarged"",""egg shaped"",""heart"",""newborn"",""then taken"",""atrial septostomy to"",""condition"",""definitive surgical correction"",""following"",""most likely cause"",""newborn"",""ondition?""]"
"A 25-year-old male involved in a knife fight presents with a penetrating wound to the chest. The patient is unconscious and cannot provide any further history. Vitals show a temperature of 37-0°C (98.6°F), blood pressure of 85/55 mm Hg, pulse of 115/min, respirations of 19/min, and oxygen saturation of 92% on room air. On physical examination, the patient is diaphoretic and unresponsive. Extremities are pale and cool. There is a 3-inch long penetrating wound between the 3rd and 4th intercostal space on the left side of the chest, which is bleeding profusely. Transthoracic echocardiography reveals a full thickness penetrating injury to the right ventricular free wall. There are no apparent injuries to any coronary arteries or major branches. The patient is intubated and aggressive fluid resuscitation is initiated, including a blood transfusion. Which of the following is the best definitive surgical approach to take in this patient?",Interrupted 2-0 polypropylene suture with supporting pledgets,Immediate cardiac transplant,Watchful waiting while resuscitative fluids are initiated,Interrupted 2-0 polypropylene suture with supporting pledgets,Needle thoracostomy over the 2nd intercostal space,step2&3,C,"[""year old male involved"",""knife fight presents"",""penetrating wound"",""chest"",""patient"",""unconscious"",""provide"",""further history"",""show"",""temperature"",""98"",""blood pressure"",""85 55 mm Hg"",""pulse"",""min"",""respirations"",""min"",""oxygen saturation"",""room air"",""physical examination"",""patient"",""diaphoretic"",""unresponsive"",""Extremities"",""pale"",""cool"",""3 inch long penetrating"",""3rd"",""4th intercostal space"",""left side of"",""chest"",""bleeding"",""Transthoracic echocardiography reveals"",""full thickness penetrating injury"",""right ventricular free wall"",""apparent injuries"",""coronary"",""major branches"",""patient"",""intubated"",""aggressive fluid resuscitation"",""initiated"",""including"",""blood transfusion"",""following"",""best definitive surgical approach to take"",""patient""]"
"A post-mortem lung examination of a 68-year-old male overweight male with evidence of chronic lower extremity edema, a 60 pack-year smoking history and daily productive cough would be most likely to reveal:",Reid Index > 50%,Hypereosinophilia,Reid Index > 50%,Non-caseating granulomas,Evidence of a necrotizing infection,step1,B,"[""post-mortem lung examination"",""68 year old male overweight"",""evidence of chronic lower extremity edema"",""60 pack-year smoking history"",""daily productive cough"",""most likely to reveal""]"
A 54-year-old male makes an appointment with his primary care physician due to chronic fatigue that has left him unable to hike or do other physically demanding activities with his friends. He has well-controlled hypertension and diabetes but has otherwise been healthy. He does not smoke but drinks socially with his friends. Physical exam reveals enlarged nodules that are not tender to palpation. A biopsy is obtained showing a characteristic change in chromosome 18. The regulation of which of the following proteins will be most abnormal in this patient?,Caspase-9,Caspase-9,CD15,Cyclin-dependent kinase 4,Ras pathway transcription factors,step1,A,"[""54 year old male makes"",""appointment"",""primary care physician"",""chronic fatigue"",""left"",""unable to"",""physically demanding activities"",""friends"",""well-controlled hypertension"",""diabetes"",""healthy"",""not smoke"",""drinks"",""friends"",""Physical exam reveals enlarged nodules"",""not tender"",""palpation"",""biopsy"",""obtained showing"",""characteristic change"",""chromosome 18"",""regulation"",""following proteins"",""most abnormal"",""patient""]"
A 44-year-old African-American woman comes to the physician for a routine examination. She is concerned about cancer because her uncle died of metastatic melanoma 1 year ago. She has no history of serious illness and does not take any medication. She has been working in a law firm for the past 20 years and travels to the Carribean regularly with her husband. Examination of her skin shows no abnormal moles or warts. This woman is at greatest risk of which of the following types of melanoma?,Acral lentiginous,Desmoplastic,Nodular,Acral lentiginous,Superficial spreading,step1,C,"[""year old African-American woman"",""physician"",""routine examination"",""concerned"",""cancer"",""uncle died"",""metastatic melanoma"",""year"",""history"",""serious illness"",""not take"",""medication"",""working"",""law firm"",""past 20 years"",""travels"",""husband"",""Examination of"",""skin shows"",""abnormal moles"",""warts"",""woman"",""greatest risk"",""following types"",""melanoma""]"
"A 60-year-old woman is brought to the clinic by her daughter for evaluation. The daughter reports that her mother has recently been having difficulty combing her hair in the mornings. The patient’s family history is significant for an ischemic stroke in her father. The patient’s past medical history is positive for diverticulosis. She takes no medication. Her blood pressure is 120/70 mm Hg, heart rate is 75/min, respiratory rate is 14/min, and temperature is 37.6°C (99.7°F). On physical examination, the patient’s neck is stiff and she also has bilateral shoulder tenderness; muscle strength is intact. Laboratory work is performed and presented below:
Hemoglobin 12.9 g/dL
Hematocrit 37.7% 
Leukocyte count 5,500/mm3
Neutrophils 65%
Lymphocytes 30%
Monocytes 5%
Mean corpuscular volume 82.2 μm3
Platelet count 190,000/mm3
Erythrocyte sedimentation rate 65 mm/h
C-reactive protein 44 mg/dL
For which of the symptoms below should the patient be screened?",Jaw claudication,Jaw claudication,Heliotrope rash,Gastroesophageal reflux,Pink plaques with silvery scales,step2&3,A,"[""60 year old woman"",""brought"",""clinic"",""daughter"",""evaluation"",""daughter reports"",""mother"",""recently"",""difficulty combing"",""hair"",""mornings"",""patients family history"",""significant"",""ischemic stroke"",""father"",""patients past medical history"",""positive"",""diverticulosis"",""takes"",""medication"",""blood pressure"",""70 mm Hg"",""heart rate"",""75 min"",""respiratory rate"",""min"",""temperature"",""99"",""physical examination"",""patients neck"",""stiff"",""bilateral shoulder tenderness"",""muscle strength"",""intact"",""Laboratory work"",""performed"",""presented"",""dL"",""count"",""mm3"",""Mean corpuscular volume"",""Platelet count"",""rate"",""mm/h C-reactive protein"",""dL"",""symptoms"",""patient"",""screened""]"
"A 30-year-old woman comes to the physician because she has been unable to conceive for 3 years. Analysis of her husband's semen has shown normal sperm counts during this time. The patient also reports episodic pelvic and back pain accompanied by painful diarrhea for 5 years. She has about one such episode on average per month for 4–6 days. She has taken ibuprofen for the pain, which has provided some relief. Menses have occurred at regular 29-day intervals since menarche at the age of 14 years and last for 7 days. She is sexually active with her husband and does not use contraception. Vital signs are within normal limits. Pelvic and bimanual examinations are normal; rectal examination is unremarkable. A hysterosalpingogram 6 months prior showed normal results. Which of the following is the most likely underlying mechanism of this patient's symptoms?",Endometrial tissue outside the uterine cavity,Loss of fallopian tube function following infection,Smooth muscle tumor arising from the myometrium,Endometrial tissue outside the uterine cavity,Increased secretion of androgens and luteinizing hormone,step2&3,C,"[""30 year old woman"",""physician"",""unable to"",""years"",""Analysis"",""husband's semen"",""shown normal sperm counts"",""time"",""patient"",""reports episodic pelvic"",""back pain"",""painful diarrhea"",""5 years"",""about one"",""episode"",""average per month"",""days"",""taken ibuprofen"",""pain"",""provided"",""relief"",""Menses"",""occurred"",""regular 29 day intervals"",""menarche at"",""age"",""years"",""last"",""7 days"",""sexually active"",""husband"",""not use contraception"",""Vital signs"",""normal limits"",""Pelvic"",""bimanual examinations"",""normal"",""rectal examination"",""unremarkable"",""hysterosalpingogram"",""months prior showed normal results"",""following"",""most likely underlying mechanism"",""patient's symptoms""]"
"A 55-year-old truck driver is brought to a physician by his wife. She states that her husband developed a fever and began feeling weak 3 days ago, but has refused medical help. He has been unable to go to work because of his symptoms. The patient has been previously hospitalized for a tricuspid valve replacement surgery 1 year ago and takes aspirin daily. The medical history is also relevant for myocardial infarction 3 years ago and hypertension for the past 10 years, for which he takes lisinopril. His blood pressure is 140/80 mm Hg, the pulse is 82/min, the respirations are 18/minute, and the temperature is 37.2°C (98.9°F). On examination, several hemorrhages are noted on the nail beds of several fingers. Which of the following findings would be most helpful in establishing a diagnosis?",Friable irregular masses attached to the valve,Bicuspid valve,Friable irregular masses attached to the valve,Papillary muscle rupture,Annular calcification,step1,B,"[""55 year old truck driver"",""brought"",""physician"",""wife"",""states"",""husband"",""fever"",""began feeling weak"",""days"",""refused medical help"",""unable to go to work"",""symptoms"",""patient"",""hospitalized"",""tricuspid valve replacement surgery 1 year"",""takes aspirin daily"",""medical history"",""relevant"",""myocardial infarction"",""years"",""hypertension"",""past 10 years"",""takes lisinopril"",""blood pressure"",""80 mm Hg"",""pulse"",""min"",""respirations"",""minute"",""temperature"",""98 9F"",""examination"",""several hemorrhages"",""noted"",""nail beds of"",""fingers"",""following findings"",""most helpful"",""establishing"",""diagnosis""]"
A previously healthy 30-year-old woman comes to the physician for the evaluation of pain during sexual intercourse for 6 months. She also reports frequent episodes of crampy pelvic pain that starts one day before menses and lasts for 7 days. Her symptoms are not relieved with pain medication. Menses occur at regular 28-day intervals and last 5 days. Her last menstrual period was 2 weeks ago. She is sexually active with her husband. She uses a combined oral contraceptive pill. Her vital signs are within normal limits. Physical examination shows rectovaginal tenderness. Cervical and urethral swabs are negative. Transvaginal ultrasonography shows no abnormalities. Which of the following is the most appropriate next step in management?,Laparoscopy,Measurement of CA-125 levels,Hysterectomy,Laparoscopy,Hysteroscopy,step2&3,C,"[""healthy 30 year old woman"",""physician"",""evaluation"",""pain"",""sexual intercourse"",""months"",""reports frequent episodes of crampy pelvic pain"",""starts one day"",""menses"",""lasts"",""7 days"",""symptoms"",""not relieved"",""pain medication"",""Menses occur"",""regular"",""day intervals"",""last 5 days"",""last menstrual period"",""2 weeks"",""sexually active"",""husband"",""uses"",""combined oral contraceptive pill"",""vital signs"",""normal"",""Physical examination shows rectovaginal tenderness"",""Cervical"",""urethral swabs"",""negative"",""Transvaginal ultrasonography shows"",""abnormalities"",""following"",""most appropriate next step"",""management""]"
"A 50-year-old man visits his physician after 20 years of not seeking any medical care. He is concerned about his health after a colleague recently had a heart attack. The patient has no active complaints and says he feels healthy; however, he does not exercise regularly and lives a sedentary lifestyle. He is employed as an administrative position at a local college, and is seated at a desk most of the day. His father had a heart attack at age 54 and his mother is still alive with no health concerns. He does not smoke, only drinks socially, and does not use drugs. Today, his blood pressure is 130/90 mm Hg, pulse is 84/min, and respiratory rate is 14/min. Physical examination reveals an obese male with no significant findings. An ECG shows no abnormalities, and laboratory testing shows the following:
Laboratory test
Serum glucose (fasting)  105 mg/dL
Serum electrolytes 
Sodium  142 mEq/L
Potassium 3.9 mEq/L
Chloride 101 mEq/L
Serum creatinine 0.8 mg/dl
Blood urea nitrogen 10 mg/dl
Cholesterol, total 250 mg/dL
HDL-cholesterol 35 mg/dL
LDL-cholesterol 186 mg/dL
Triglycerides 170 mg/dL
Urinalysis 
Glucose  negative
Ketones negative
Leucocytes negative
Nitrites negative 
Red blood cells (RBC) negative 
Casts negative 
Which of the following lab abnormalities in this patient is an indication for treatment?",High LDL-cholesterol,Blood pressure reading,Patient’s weight,High LDL-cholesterol,Serum glucose level,step1,C,"[""50 year old man visits"",""physician"",""20 years"",""not"",""medical care"",""concerned"",""health"",""recently"",""heart attack"",""patient"",""active complaints"",""feels healthy"",""not exercise"",""lives"",""sedentary lifestyle"",""employed"",""administrative position"",""local college"",""seated"",""day"",""father"",""heart attack"",""age 54"",""mother"",""alive"",""health concerns"",""not smoke"",""only drinks"",""not use drugs"",""Today"",""blood pressure"",""90 mm Hg"",""pulse"",""84 min"",""respiratory rate"",""min"",""Physical examination reveals"",""obese male"",""significant findings"",""ECG shows"",""abnormalities"",""laboratory testing shows"",""following"",""Laboratory test Serum glucose"",""fasting"",""mg"",""L Potassium"",""creatinine 0.8 mg"",""Blood"",""nitrogen 10"",""Cholesterol"",""total"",""mg/dL"",""cholesterol"",""LDL"",""Urinalysis"",""Ketones"",""Leucocytes"",""Nitrites"",""Red blood cells"",""Casts negative"",""following lab abnormalities"",""patient"",""indication"",""treatment""]"
"A 26-year-old woman is brought to the emergency department 20 minutes after being involved in a high-speed motor vehicle collision in which she was a restrained passenger. On arrival, she is lethargic and incoherent. She has severe facial lacerations and is in respiratory distress. Her pulse is 130/min, respirations are 29/min, and blood pressure is 90/58 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 70%. Examination shows multiple facial lacerations. There is dullness to percussion and decreased breath sounds over the left lung base. Abdominal examination shows diffuse tenderness with no guarding or rebound. Bowel sounds are normal. The remainder of the examination shows no abnormalities. Her hemoglobin concentration is 12.1 g/dL. An x-ray of the chest shows a fractured left second rib, depression of the left mainstem bronchus, deviation of the nasogastric tube to the right, and a widened mediastinum. Which of the following is the most likely diagnosis?",Thoracic aortic rupture,Diaphragmatic rupture,Traumatic bronchial rupture,Thoracic aortic rupture,Tension pneumothorax,step2&3,C,"[""year old woman"",""brought"",""emergency department 20 minutes"",""involved"",""high speed motor vehicle collision"",""restrained passenger"",""arrival"",""lethargic"",""incoherent"",""severe facial lacerations"",""respiratory distress"",""pulse"",""min"",""respirations"",""29 min"",""blood pressure"",""90 58 mm Hg"",""Pulse oximetry"",""room air shows"",""oxygen"",""70"",""Examination shows multiple facial"",""dullness"",""percussion"",""decreased breath sounds"",""left lung base"",""Abdominal examination shows diffuse tenderness"",""guarding"",""Bowel sounds"",""normal"",""examination shows"",""abnormalities"",""hemoglobin concentration"",""g/dL"",""x-ray of"",""chest shows"",""fractured left second rib"",""depression"",""left mainstem bronchus"",""deviation"",""nasogastric tube"",""right"",""widened mediastinum"",""following"",""most likely diagnosis""]"
"A 26-year-old G1P0 woman presents to her primary care physician’s office with feelings of anxiety and trouble with sleep. She finds it difficult initiating sleep, occasionally has palpitations, and feels fatigued. She denies having similar symptoms in the past or starting any new medications or illicit drugs. She is currently 10 weeks pregnant and is closely followed by her obstetrician. Her temperature is 98.6°F (37°C), blood pressure is 125/70 mmHg, pulse is 105/min, and respirations are 18/min. On physical exam, the patient is mildly diaphoretic. The skin is warm and the thyroid gland is diffusely enlarged with thyroid bruits. Laboratory studies are significant for a thyroid-stimulating hormone level of 0.01 µU/mL (normal is 0.5-5.0 µU/mL) and an elevated free thyroxine (FT4) that is inappropriate for her pregnancy. Which of the following is the best treatment option for this patient?",Propylthiouracil,Methimazole,Propylthiouracil,Radioiodine therapy,Thyroidectomy,step1,B,"[""year old"",""woman presents"",""primary care physicians office"",""feelings"",""anxiety"",""sleep"",""finds"",""difficult initiating sleep"",""occasionally"",""palpitations"",""feels fatigued"",""denies"",""similar symptoms"",""past"",""starting"",""new medications"",""illicit drugs"",""currently 10 weeks pregnant"",""followed by"",""obstetrician"",""temperature"",""98"",""blood pressure"",""70 mmHg"",""pulse"",""min"",""respirations"",""min"",""physical exam"",""patient"",""mildly diaphoretic"",""skin"",""warm"",""thyroid gland"",""enlarged"",""thyroid bruits"",""Laboratory studies"",""significant"",""thyroid-stimulating hormone level"",""0.01 U/mL"",""normal"",""mL"",""elevated free thyroxine"",""inappropriate"",""pregnancy"",""following"",""best treatment"",""patient""]"
"A 32-year-old woman comes to the physician because of a 3-week history of intermittent loose stools and a 1.2-kg (2.6-lb) weight loss. She immigrated to the US from Uganda 6 weeks ago. Abdominal examination shows diffuse tenderness with no guarding or rebound. The liver is firm and palpable 3 cm below the right costal margin, and the spleen is palpable just below the left costal margin. Her leukocyte count is 12,800/mm3 (12% eosinophils). Stool culture shows several oval-shaped eggs with lateral spines. Microscopic examination of a liver biopsy specimen shows granulomatous inflammation with periportal fibrosis. Exposure to which of the following is most likely to have played a role in the development of this patient's symptoms?",Freshwater snails,Undercooked pork meat,Undercooked fish meat,Dog feces,Freshwater snails,step1,D,"[""year old woman"",""physician"",""3 week history"",""intermittent loose stools"",""a"",""2 kg"",""2.6"",""weight loss"",""Uganda"",""weeks"",""Abdominal examination shows diffuse tenderness"",""guarding"",""liver"",""firm"",""palpable 3 cm"",""right costal margin"",""spleen"",""palpable"",""left costal margin"",""leukocyte count"",""800 mm3"",""eosinophils"",""Stool culture shows several oval eggs"",""lateral spines"",""Microscopic examination of"",""liver biopsy specimen shows granulomatous inflammation with"",""fibrosis"",""Exposure"",""following"",""most likely to"",""played"",""role"",""development"",""patient's symptoms""]"
"A 3-month-old girl is brought to a pediatrician by her parents. She has central cyanosis without signs of respiratory distress or signs of heart failure. An echocardiogram reveals severe pulmonary outflow obstruction, right ventricular hypertrophy, a ventricular septal defect, and an overriding of the aorta. An elective primary surgical repair is planned at 4 months of age. Which of the following statements is true about this girl’s condition?",Normal hemoglobin in patients with tetralogy of Fallot does not rule out iron deficiency anemia.,The tricuspid valve is the most common valve affected by bacterial endocarditis in uncorrected tetralogy of Fallot.,Normal hemoglobin in patients with tetralogy of Fallot does not rule out iron deficiency anemia.,Cerebral arterial thrombosis is more common than cerebral venous thrombosis.,Refractory heart failure is a common complication of tetralogy of Fallot.,step1,B,"[""3 month old girl"",""brought"",""pediatrician"",""parents"",""central cyanosis"",""signs"",""respiratory distress"",""signs"",""heart failure"",""echocardiogram reveals severe pulmonary"",""obstruction"",""right ventricular hypertrophy"",""ventricular septal defect"",""overriding"",""aorta"",""elective primary"",""planned"",""months"",""age"",""following statements"",""true"",""girls condition""]"
"Six days after undergoing surgical repair of a hip fracture, a previously healthy 79-year-old woman is agitated and confused. She is unarousable during the day, but then is awake and impulsive during the night, requiring frequent reorientation. Her husband says that she usually drinks one to two glasses of wine weekly. Her only current medication is oxycodone for pain. Her vital signs are within normal limits. She is distressed and oriented to person but not to place or time. Neurologic examination shows inattentiveness but no focal deficits. Urine dipstick is normal. Which of the following is the most likely cause of her current condition?",Delirium,Dementia,Opioid intoxication,Delirium,Urinary tract infection,step1,C,"[""Six days"",""surgical"",""hip"",""healthy"",""year old woman"",""agitated"",""confused"",""day"",""then"",""awake"",""impulsive"",""night"",""frequent reorientation"",""husband"",""usually drinks one"",""two glasses"",""wine weekly"",""only current medication"",""oxycodone"",""pain"",""vital signs"",""normal limits"",""distressed"",""oriented to person"",""not to place"",""time"",""Neurologic examination shows inattentiveness"",""focal deficits"",""Urine dipstick"",""normal"",""following"",""most likely cause"",""current condition""]"
